paper_id,path,title,source,file_name,destination_path
34e3d7d335beabf1a32401936990aa7da252596a,"C:\Users\44745\Zotero\storage\EBIU6P6I\Gruntman et al. - 2018 - Simple integration of fast excitation and offset, .pdf","Simple integration of fast excitation and offset, delayed inhibition computes directional selectivity in Drosophila",local,"Gruntman et al. - 2018 - Simple integration of fast excitation and offset, .pdf","downloaded_papers\Gruntman et al. - 2018 - Simple integration of fast excitation and offset, .pdf"
3313fced4ff485d826a1bb8c26bbed6c13613661,C:\Users\44745\Zotero\storage\UIUN67UD\Stürner et al. - 2025 - Comparative connectomics of Drosophila descending .pdf,Comparative connectomics of Drosophila descending and ascending neurons,local,Stürner et al. - 2025 - Comparative connectomics of Drosophila descending .pdf,downloaded_papers\Stürner et al. - 2025 - Comparative connectomics of Drosophila descending .pdf
02ad20e81f05103718740c07bd6aa772065fa798,C:\Users\44745\Zotero\storage\SKB83HD7\Aso et al. - 2014 - Mushroom body output neurons encode valence and gu.pdf,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,local,Aso et al. - 2014 - Mushroom body output neurons encode valence and gu.pdf,downloaded_papers\Aso et al. - 2014 - Mushroom body output neurons encode valence and gu.pdf
e2d98764ec3c03410654573f95383d8caedaa021,downloaded_papers\Afterimages_drive_a_shared_visual_motionreversal_i_e2d98764ec3c03410654573f95383d8caedaa021.pdf,Afterimages drive a shared visual motion-reversal illusion in Drosophila,downloaded_existing,Afterimages_drive_a_shared_visual_motionreversal_i_e2d98764ec3c03410654573f95383d8caedaa021.pdf,downloaded_papers\Afterimages_drive_a_shared_visual_motionreversal_i_e2d98764ec3c03410654573f95383d8caedaa021.pdf
4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5,downloaded_papers\Crossspecies_evidence_for_a_developmental_origin_o_4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5.pdf,Cross-species evidence for a developmental origin of adult hypersomnia with loss of synaptic adhesion molecules beat-Ia/CADM2,downloaded_existing,Crossspecies_evidence_for_a_developmental_origin_o_4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5.pdf,downloaded_papers\Crossspecies_evidence_for_a_developmental_origin_o_4636ca6b9e2fe40c86e9fd82b913a71cf54ef6f5.pdf
d53bd2a0f1e74dca084f7cc415d6a4f15de9109e,C:\Users\44745\Zotero\storage\SNLTBU3W\Christie et al. - 2026 - A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophilai.pdf,A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophila.,local,Christie et al. - 2026 - A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophilai.pdf,downloaded_papers\Christie et al. - 2026 - A pair of interneurons that confer positive real-time valence to sweet sensation in Drosophilai.pdf
a1dac9aca4e73df87b83c35811c54497be51d7ce,downloaded_papers\Connectomic_mapping_of_pharyngeal_and_gut_sensory_a1dac9aca4e73df87b83c35811c54497be51d7ce.pdf,Connectomic mapping of pharyngeal and gut sensory circuits in adult Drosophila,downloaded_existing,Connectomic_mapping_of_pharyngeal_and_gut_sensory_a1dac9aca4e73df87b83c35811c54497be51d7ce.pdf,downloaded_papers\Connectomic_mapping_of_pharyngeal_and_gut_sensory_a1dac9aca4e73df87b83c35811c54497be51d7ce.pdf
2fcbb9596b4aade977db8098b61303cb5a5bd988,downloaded_papers\Highthroughput_tracking_of_freely_moving_Drosophil_2fcbb9596b4aade977db8098b61303cb5a5bd988.pdf,High-throughput tracking of freely moving Drosophila reveals variations in aggression and courtship behaviors,downloaded_existing,Highthroughput_tracking_of_freely_moving_Drosophil_2fcbb9596b4aade977db8098b61303cb5a5bd988.pdf,downloaded_papers\Highthroughput_tracking_of_freely_moving_Drosophil_2fcbb9596b4aade977db8098b61303cb5a5bd988.pdf
ceddc80f88ee234e7c6683eef540909bdd13ddc4,downloaded_papers\Drosophila_DNp03_descending_neurons_serve_as_a_hub_ceddc80f88ee234e7c6683eef540909bdd13ddc4.pdf,Drosophila DNp03 descending neurons serve as a hub within a flight saccade network.,downloaded_existing,Drosophila_DNp03_descending_neurons_serve_as_a_hub_ceddc80f88ee234e7c6683eef540909bdd13ddc4.pdf,downloaded_papers\Drosophila_DNp03_descending_neurons_serve_as_a_hub_ceddc80f88ee234e7c6683eef540909bdd13ddc4.pdf
b6e0b082eb2917f1a7a57442704fec25969de03c,downloaded_papers\The_Drosophila_escape_motor_circuit_shows_differen_b6e0b082eb2917f1a7a57442704fec25969de03c.pdf,The Drosophila escape motor circuit shows differential vulnerability to aging linked to functional decay,downloaded_existing,The_Drosophila_escape_motor_circuit_shows_differen_b6e0b082eb2917f1a7a57442704fec25969de03c.pdf,downloaded_papers\The_Drosophila_escape_motor_circuit_shows_differen_b6e0b082eb2917f1a7a57442704fec25969de03c.pdf
