paper_id,paper_title,cell_type,mode,model,experimental_stimulus,neural_activity,behavioral_consequence,ecological_context,techniques_used,summary
34e3d7d335beabf1a32401936990aa7da252596a,"Simple integration of fast excitation and offset, delayed inhibition computes directional selectivity in Drosophila",T4,experimental,qwen3.5:35b,"ON moving bars (8 directions, 4 speeds), single-position bar flashes, two-step apparent motion",In vivo whole-cell recordings show depolarization to preferred direction motion and hyperpolarization to null direction motion; receptive field mapping reveals spatially offset excitatory (leading side) and inhibitory (trailing side) inputs; directional selectivity results from null-direction suppression without preferred-direction enhancement,,Stimulus speeds tested cover a behaviorally relevant range; spatial offset between excitatory and inhibitory inputs (~6°) corresponds to angular separation between adjacent ommatidia,"['in vivo whole-cell electrophysiology', 'LED visual stimuli', 'computational modeling']","T4 neurons exhibit directionally selective responses mediated by spatially offset fast excitatory and slow inhibitory inputs, resulting in null-direction suppression."
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,MBON-γ1pedc>α/β,experimental,qwen3.5:35b,Optogenetic activation (CsChrimson + red light); Inactivation (Shibire-ts1) during olfactory and visual conditioning (shock/sugar),Not directly measured; optogenetic activation sufficient to induce attraction,Activation induces attraction to red light. Inactivation impairs 2-hr aversive odor memory and aversive visual memory.,Memory-based action selection to avoid dangerous stimuli,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'T-maze olfactory conditioning', 'Visual conditioning arena']","MBON-γ1pedc>α/β activation induces attraction, while its inactivation impairs short-term aversive memory for both odors and colors."
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,MBON-γ4>γ1γ2 and MBON-β1>α,experimental,qwen3.5:35b,Optogenetic activation; Inactivation during visual and ethanol conditioning,Not directly measured; optogenetic activation sufficient to induce avoidance,Activation induces avoidance of red light. Inactivation impairs appetitive visual memory and appetitive ethanol memory.,Memory-based action selection to approach rewarding stimuli,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'Visual conditioning', 'Ethanol odor conditioning']",These glutamatergic MBONs mediate avoidance when activated and are required for appetitive memory of visual cues and ethanol.
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,"M4/M6 Cluster Glutamatergic MBONs (MBON-γ5β′2a, MBON-β′2mp, MBON-β′2mp_bilateral)",experimental,qwen3.5:35b,"Optogenetic activation; Inactivation during odor, visual, and ethanol conditioning",Not directly measured; optogenetic activation sufficient to induce avoidance,"Activation induces avoidance. Inactivation impairs 2-hr appetitive odor memory, appetitive visual memory, and appetitive ethanol memory.",Memory-based action selection to approach rewarding stimuli,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'T-maze olfactory conditioning', 'Visual conditioning', 'Ethanol odor conditioning']",This cluster of glutamatergic MBONs mediates avoidance when activated and is required for multiple forms of appetitive memory.
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,MBON-α′2,experimental,qwen3.5:35b,Optogenetic activation; Inactivation during ethanol conditioning,Not directly measured; optogenetic activation sufficient to induce attraction,Activation induces attraction. Inactivation impairs 24-hr appetitive ethanol memory and prevents the switch from aversive to appetitive memory after ethanol intoxication.,Memory-based action selection regarding ethanol intoxication outcomes,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'Ethanol odor conditioning']",MBON-α′2 activation induces attraction and is required for long-term appetitive ethanol memory and the switch from aversive to appetitive memory.
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,MBON-γ2α′1,experimental,qwen3.5:35b,Optogenetic activation; Inactivation during odor/visual conditioning; dTrpA1 activation,Not directly measured; optogenetic activation induces attraction; dTrpA1 activation induces sleep promotion,Inactivation impairs 2-hr appetitive odor and visual memory. dTrpA1 activation increases sleep duration.,Memory-guided approach and sleep-wake regulation,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'Thermogenetic activation (dTrpA1)', 'Sleep tracking (activity monitors)']",MBON-γ2α′1 activation attracts flies and promotes sleep; inactivation impairs appetitive memory for odors and colors.
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,"GABAergic MBONs (MBON-γ3, MBON-γ3β′1)",experimental,qwen3.5:35b,dTrpA1 activation,Not directly measured,dTrpA1 activation increases sleep duration.,Sleep regulation and arousal state control,"['Thermogenetic activation (dTrpA1)', 'Sleep tracking (activity monitors)']",Activation of these GABAergic MBONs promotes sleep.
02ad20e81f05103718740c07bd6aa772065fa798,Mushroom body output neurons encode valence and guide memory-based action selection in Drosophila,V2 Cluster MBONs (MB052B),experimental,qwen3.5:35b,Optogenetic activation; Inactivation during 24-hr odor conditioning,Not directly measured; optogenetic activation induces weak attraction,Inactivation causes loss of retrieval of 24-hr aversive odor memory.,Long-term memory retrieval for aversive stimuli,"['Optogenetics (CsChrimson)', 'Thermogenetic silencing (Shibire-ts1)', 'Long-term odor memory assay']",V2 cluster MBONs are required for the retrieval of long-term aversive odor memory and activation induces weak attraction.
e2d98764ec3c03410654573f95383d8caedaa021,Afterimages drive a shared visual motion-reversal illusion in Drosophila,direction-selective T4/T5 neurons,experimental,qwen3.5:35b,phase-shifted gratings interleaved with uniform frames (apparent-motion illusion); interleave luminance (dark vs light); random binary patterns,,silencing abolishes the direction reversal behavior,,"['targeted silencing', 'behavior']",Silencing direction-selective T4/T5 neurons abolishes the direction reversal observed in the apparent-motion illusion.
e2d98764ec3c03410654573f95383d8caedaa021,Afterimages drive a shared visual motion-reversal illusion in Drosophila,downstream wide-field neurons,experimental,qwen3.5:35b,phase-shifted gratings interleaved with uniform frames; interleave duration increases,invert their directional preference as interleave duration increases,,,['recordings'],Recordings reveal that downstream wide-field neurons invert their directional preference as interleave duration increases.
